"league", "home", "visitor", "x", "date"
302,' 3005',' 3012',' 53',' ''2025-09-03'''
302,' 3006',' 3011',' 54',' ''2025-09-03'''
302,' 3007',' 3010',' 55',' ''2025-09-03'''
302,' 3008',' 3009',' 56',' ''2025-09-03'''
302,' 3011',' 3005',' 51',' ''2025-09-10'''
302,' 3010',' 3012',' 57',' ''2025-09-10'''
302,' 3009',' 3006',' 56',' ''2025-09-10'''
302,' 3008',' 3007',' 56',' ''2025-09-10'''
302,' 3005',' 3010',' 53',' ''2025-09-17'''
302,' 3011',' 3009',' 51',' ''2025-09-17'''
302,' 3012',' 3008',' 52',' ''2025-09-17'''
302,' 3006',' 3007',' 54',' ''2025-09-17'''
302,' 3009',' 3005',' 56',' ''2025-09-24'''
302,' 3010',' 3008',' 57',' ''2025-09-24'''
302,' 3007',' 3011',' 55',' ''2025-09-24'''
302,' 3012',' 3006',' 52',' ''2025-09-24'''
302,' 3005',' 3008',' 53',' ''2025-10-01'''
302,' 3009',' 3007',' 56',' ''2025-10-01'''
302,' 3010',' 3006',' 57',' ''2025-10-01'''
302,' 3011',' 3012',' 51',' ''2025-10-01'''
302,' 3007',' 3005',' 55',' ''2025-10-08'''
302,' 3006',' 3008',' 54',' ''2025-10-08'''
302,' 3012',' 3009',' 52',' ''2025-10-08'''
302,' 3011',' 3010',' 51',' ''2025-10-08'''
302,' 3005',' 3006',' 53',' ''2025-10-15'''
302,' 3007',' 3012',' 55',' ''2025-10-15'''
302,' 3008',' 3011',' 56',' ''2025-10-15'''
302,' 3009',' 3010',' 56',' ''2025-10-15'''
302,' 3012',' 3005',' 52',' ''2025-10-29'''
302,' 3011',' 3006',' 51',' ''2025-10-29'''
302,' 3010',' 3007',' 57',' ''2025-10-29'''
302,' 3009',' 3008',' 56',' ''2025-10-29'''
302,' 3005',' 3011',' 53',' ''2025-11-05'''
302,' 3012',' 3010',' 52',' ''2025-11-05'''
302,' 3006',' 3009',' 54',' ''2025-11-05'''
302,' 3007',' 3008',' 55',' ''2025-11-05'''
302,' 3010',' 3005',' 57',' ''2025-11-12'''
302,' 3009',' 3011',' 56',' ''2025-11-12'''
302,' 3008',' 3012',' 56',' ''2025-11-12'''
302,' 3007',' 3006',' 55',' ''2025-11-12'''
302,' 3005',' 3009',' 53',' ''2025-11-19'''
302,' 3008',' 3010',' 56',' ''2025-11-19'''
302,' 3011',' 3007',' 51',' ''2025-11-19'''
302,' 3006',' 3012',' 54',' ''2025-11-19'''
302,' 3008',' 3005',' 56',' ''2025-11-26'''
302,' 3007',' 3009',' 55',' ''2025-11-26'''
302,' 3006',' 3010',' 54',' ''2025-11-26'''
302,' 3012',' 3011',' 52',' ''2025-11-26'''
301,' 3001',' 3004',' 50',' ''2025-09-03'''
301,' 3002',' 3003',' 51',' ''2025-09-03'''
301,' 3003',' 3001',' 51',' ''2025-09-10'''
301,' 3004',' 3002',' 52',' ''2025-09-10'''
301,' 3001',' 3002',' 50',' ''2025-09-17'''
301,' 3003',' 3004',' 51',' ''2025-09-17'''
301,' 3004',' 3001',' 52',' ''2025-10-08'''
301,' 3003',' 3002',' 51',' ''2025-10-08'''
301,' 3001',' 3003',' 50',' ''2025-10-15'''
301,' 3002',' 3004',' 51',' ''2025-10-15'''
301,' 3002',' 3001',' 51',' ''2025-10-22'''
301,' 3004',' 3003',' 52',' ''2025-10-22'''
301,' 3001',' 3004',' 50',' ''2025-11-05'''
301,' 3002',' 3003',' 51',' ''2025-11-05'''
301,' 3003',' 3001',' 51',' ''2025-11-12'''
301,' 3004',' 3002',' 52',' ''2025-11-12'''
301,' 3001',' 3002',' 50',' ''2025-11-19'''
301,' 3003',' 3004',' 51',' ''2025-11-19'''
304,' 3020',' 3025',' 56',' ''2025-09-03'''
304,' 3021',' 3024',' 56',' ''2025-09-03'''
304,' 3022',' 3023',' 56',' ''2025-09-03'''
304,' 3024',' 3020',' 51',' ''2025-09-10'''
304,' 3023',' 3025',' 61',' ''2025-09-10'''
304,' 3022',' 3021',' 56',' ''2025-09-10'''
304,' 3020',' 3023',' 56',' ''2025-09-17'''
304,' 3024',' 3022',' 51',' ''2025-09-17'''
304,' 3025',' 3021',' 51',' ''2025-09-17'''
304,' 3022',' 3020',' 56',' ''2025-09-24'''
304,' 3021',' 3023',' 56',' ''2025-09-24'''
304,' 3025',' 3024',' 51',' ''2025-09-24'''
304,' 3020',' 3021',' 56',' ''2025-10-01'''
304,' 3025',' 3022',' 51',' ''2025-10-01'''
304,' 3023',' 3024',' 61',' ''2025-10-01'''
304,' 3025',' 3020',' 51',' ''2025-10-15'''
304,' 3024',' 3021',' 51',' ''2025-10-15'''
304,' 3023',' 3022',' 61',' ''2025-10-15'''
304,' 3020',' 3024',' 56',' ''2025-10-22'''
304,' 3025',' 3023',' 51',' ''2025-10-22'''
304,' 3021',' 3022',' 56',' ''2025-10-22'''
304,' 3023',' 3020',' 61',' ''2025-10-29'''
304,' 3022',' 3024',' 56',' ''2025-10-29'''
304,' 3021',' 3025',' 56',' ''2025-10-29'''
304,' 3020',' 3022',' 56',' ''2025-11-05'''
304,' 3023',' 3021',' 61',' ''2025-11-05'''
304,' 3024',' 3025',' 51',' ''2025-11-05'''
304,' 3021',' 3020',' 56',' ''2025-11-12'''
304,' 3022',' 3025',' 56',' ''2025-11-12'''
304,' 3024',' 3023',' 51',' ''2025-11-12'''
304,' 3020',' 3025',' 56',' ''2025-11-19'''
304,' 3021',' 3024',' 56',' ''2025-11-19'''
304,' 3022',' 3023',' 56',' ''2025-11-19'''
304,' 3024',' 3020',' 51',' ''2025-11-26'''
304,' 3023',' 3025',' 61',' ''2025-11-26'''
304,' 3022',' 3021',' 56',' ''2025-11-26'''
303,' 3014',' 3019',' 58',' ''2025-09-03'''
303,' 3015',' 3018',' 59',' ''2025-09-03'''
303,' 3016',' 3017',' 59',' ''2025-09-03'''
303,' 3019',' 3013',' 60',' ''2025-09-10'''
303,' 3017',' 3014',' 55',' ''2025-09-10'''
303,' 3016',' 3015',' 59',' ''2025-09-10'''
303,' 3013',' 3018',' 53',' ''2025-09-17'''
303,' 3019',' 3017',' 60',' ''2025-09-17'''
303,' 3014',' 3015',' 58',' ''2025-09-17'''
303,' 3017',' 3013',' 55',' ''2025-09-24'''
303,' 3018',' 3016',' 55',' ''2025-09-24'''
303,' 3015',' 3019',' 59',' ''2025-09-24'''
303,' 3013',' 3016',' 53',' ''2025-10-01'''
303,' 3017',' 3015',' 55',' ''2025-10-01'''
303,' 3018',' 3014',' 55',' ''2025-10-01'''
303,' 3015',' 3013',' 59',' ''2025-10-08'''
303,' 3014',' 3016',' 58',' ''2025-10-08'''
303,' 3019',' 3018',' 60',' ''2025-10-08'''
303,' 3013',' 3014',' 53',' ''2025-10-15'''
